,no,id,l1,l2,l3,l4,l5,slope,pow
378,4,3,54,18,51,46,23,0.3456,0.14
379,5,3,54,18,51,46,23,0.6912,0.26
380,6,3,54,18,51,46,23,1.3824,0.57
381,7,3,54,18,51,46,23,2.7648,1
382,8,3,54,18,51,46,23,5.5296,1
383,9,3,54,18,51,46,23,11.0592,1
384,10,3,54,18,51,46,23,22.1184,1
385,11,3,54,18,51,46,23,44.2368,1
386,1,3,57,48,58,59,27,0.0432,0.06
387,2,3,57,48,58,59,27,0.0864,0.07
388,3,3,57,48,58,59,27,0.1728,0.09
389,4,3,57,48,58,59,27,0.3456,0.15
390,5,3,57,48,58,59,27,0.6912,0.39
391,6,3,57,48,58,59,27,1.3824,0.97
392,7,3,57,48,58,59,27,2.7648,1
393,8,3,57,48,58,59,27,5.5296,1
394,9,3,57,48,58,59,27,11.0592,1
395,10,3,57,48,58,59,27,22.1184,1
396,11,3,57,48,58,59,27,44.2368,1
397,1,3,57,58,61,53,54,0.0432,0.09
398,2,3,57,58,61,53,54,0.0864,0.11
399,3,3,57,58,61,53,54,0.1728,0.15
400,4,3,57,58,61,53,54,0.3456,0.17
401,5,3,57,58,61,53,54,0.6912,0.26
402,6,3,57,58,61,53,54,1.3824,0.75
403,7,3,57,58,61,53,54,2.7648,1
404,8,3,57,58,61,53,54,5.5296,1
405,9,3,57,58,61,53,54,11.0592,1
406,10,3,57,58,61,53,54,22.1184,1
407,11,3,57,58,61,53,54,44.2368,1
408,1,3,11,51,61,49,15,0.0432,0.03
409,2,3,11,51,61,49,15,0.0864,0.03
410,3,3,11,51,61,49,15,0.1728,0.05
411,4,3,11,51,61,49,15,0.3456,0.1
412,5,3,11,51,61,49,15,0.6912,0.16
413,6,3,11,51,61,49,15,1.3824,0.54
414,7,3,11,51,61,49,15,2.7648,1
415,8,3,11,51,61,49,15,5.5296,1
416,9,3,11,51,61,49,15,11.0592,1
417,10,3,11,51,61,49,15,22.1184,1
418,11,3,11,51,61,49,15,44.2368,1
419,1,3,23,40,33,54,26,0.0432,0.05
420,2,3,23,40,33,54,26,0.0864,0.07
421,3,3,23,40,33,54,26,0.1728,0.07
422,4,3,23,40,33,54,26,0.3456,0.1
423,5,3,23,40,33,54,26,0.6912,0.21
424,6,3,23,40,33,54,26,1.3824,0.65
425,7,3,23,40,33,54,26,2.7648,1
426,8,3,23,40,33,54,26,5.5296,1
427,9,3,23,40,33,54,26,11.0592,1
428,10,3,23,40,33,54,26,22.1184,1
429,11,3,23,40,33,54,26,44.2368,1
430,1,3,47,44,41,50,12,0.0432,0.06
431,2,3,47,44,41,50,12,0.0864,0.06
432,3,3,47,44,41,50,12,0.1728,0.09
433,4,3,47,44,41,50,12,0.3456,0.16
434,5,3,47,44,41,50,12,0.6912,0.36
435,6,3,47,44,41,50,12,1.3824,0.98
436,7,3,47,44,41,50,12,2.7648,1
437,8,3,47,44,41,50,12,5.5296,1
438,9,3,47,44,41,50,12,11.0592,1
439,10,3,47,44,41,50,12,22.1184,1
440,11,3,47,44,41,50,12,44.2368,1
441,1,3,51,38,28,56,48,0.0432,0.1
442,2,3,51,38,28,56,48,0.0864,0.1
443,3,3,51,38,28,56,48,0.1728,0.12
444,4,3,51,38,28,56,48,0.3456,0.2
445,5,3,51,38,28,56,48,0.6912,0.43
446,6,3,51,38,28,56,48,1.3824,0.96
447,7,3,51,38,28,56,48,2.7648,1
448,8,3,51,38,28,56,48,5.5296,1
449,9,3,51,38,28,56,48,11.0592,1
450,10,3,51,38,28,56,48,22.1184,1
451,11,3,51,38,28,56,48,44.2368,1
452,1,3,11,51,58,21,28,0.0432,0.03
453,2,3,11,51,58,21,28,0.0864,0.04
454,3,3,11,51,58,21,28,0.1728,0.06
455,4,3,11,51,58,21,28,0.3456,0.07
456,5,3,11,51,58,21,28,0.6912,0.12
457,6,3,11,51,58,21,28,1.3824,0.42
458,7,3,11,51,58,21,28,2.7648,0.99
459,8,3,11,51,58,21,28,5.5296,1
460,9,3,11,51,58,21,28,11.0592,1
461,10,3,11,51,58,21,28,22.1184,1
462,11,3,11,51,58,21,28,44.2368,1
463,1,3,46,47,22,52,18,0.0432,0.05
464,2,3,46,47,22,52,18,0.0864,0.05
465,3,3,46,47,22,52,18,0.1728,0.06
466,4,3,46,47,22,52,18,0.3456,0.08
467,5,3,46,47,22,52,18,0.6912,0.2
468,6,3,46,47,22,52,18,1.3824,0.49
469,7,3,46,47,22,52,18,2.7648,0.98
470,8,3,46,47,22,52,18,5.5296,1
471,9,3,46,47,22,52,18,11.0592,1
472,10,3,46,47,22,52,18,22.1184,1
473,11,3,46,47,22,52,18,44.2368,1
474,1,3,26,54,64,57,27,0.0432,0.02
475,2,3,26,54,64,57,27,0.0864,0.03
476,3,3,26,54,64,57,27,0.1728,0.03
477,4,3,26,54,64,57,27,0.3456,0.04
478,5,3,26,54,64,57,27,0.6912,0.15
479,6,3,26,54,64,57,27,1.3824,0.61
480,7,3,26,54,64,57,27,2.7648,1
481,8,3,26,54,64,57,27,5.5296,1
482,9,3,26,54,64,57,27,11.0592,1
483,10,3,26,54,64,57,27,22.1184,1
484,11,3,26,54,64,57,27,44.2368,1
485,1,3,47,40,23,54,39,0.0432,0.09
486,2,3,47,40,23,54,39,0.0864,0.1
487,3,3,47,40,23,54,39,0.1728,0.1
488,4,3,47,40,23,54,39,0.3456,0.13
489,5,3,47,40,23,54,39,0.6912,0.18
490,6,3,47,40,23,54,39,1.3824,0.71
491,7,3,47,40,23,54,39,2.7648,1
492,8,3,47,40,23,54,39,5.5296,1
493,9,3,47,40,23,54,39,11.0592,1
494,10,3,47,40,23,54,39,22.1184,1
495,11,3,47,40,23,54,39,44.2368,1
496,1,4,40,18,41,49,25,0.0432,0.06
497,2,4,40,18,41,49,25,0.0864,0.08
498,3,4,40,18,41,49,25,0.1728,0.09
499,4,4,40,18,41,49,25,0.3456,0.17
500,5,4,40,18,41,49,25,0.6912,0.49
501,6,4,40,18,41,49,25,1.3824,1
502,7,4,40,18,41,49,25,2.7648,1
503,8,4,40,18,41,49,25,5.5296,1
504,9,4,40,18,41,49,25,11.0592,1
505,10,4,40,18,41,49,25,22.1184,1
506,11,4,40,18,41,49,25,44.2368,1
507,1,4,27,54,18,39,52,0.0432,0.02
508,2,4,27,54,18,39,52,0.0864,0.03
509,3,4,27,54,18,39,52,0.1728,0.05
510,4,4,27,54,18,39,52,0.3456,0.1
511,5,4,27,54,18,39,52,0.6912,0.38
512,6,4,27,54,18,39,52,1.3824,0.95
513,7,4,27,54,18,39,52,2.7648,1
514,8,4,27,54,18,39,52,5.5296,1
515,9,4,27,54,18,39,52,11.0592,1
516,10,4,27,54,18,39,52,22.1184,1
517,11,4,27,54,18,39,52,44.2368,1
518,1,4,60,21,16,20,25,0.0432,0.04
519,2,4,60,21,16,20,25,0.0864,0.07
520,3,4,60,21,16,20,25,0.1728,0.07
521,4,4,60,21,16,20,25,0.3456,0.21
522,5,4,60,21,16,20,25,0.6912,0.53
523,6,4,60,21,16,20,25,1.3824,1
524,7,4,60,21,16,20,25,2.7648,1
525,8,4,60,21,16,20,25,5.5296,1
526,9,4,60,21,16,20,25,11.0592,1
527,10,4,60,21,16,20,25,22.1184,1
528,11,4,60,21,16,20,25,44.2368,1
529,1,4,30,32,40,63,52,0.0432,0.07
530,2,4,30,32,40,63,52,0.0864,0.08
531,3,4,30,32,40,63,52,0.1728,0.09
532,4,4,30,32,40,63,52,0.3456,0.13
533,5,4,30,32,40,63,52,0.6912,0.34
534,6,4,30,32,40,63,52,1.3824,1
535,7,4,30,32,40,63,52,2.7648,1
536,8,4,30,32,40,63,52,5.5296,1
537,9,4,30,32,40,63,52,11.0592,1
538,10,4,30,32,40,63,52,22.1184,1
539,11,4,30,32,40,63,52,44.2368,1
540,1,4,47,19,52,62,17,0.0432,0.06
541,2,4,47,19,52,62,17,0.0864,0.06
542,3,4,47,19,52,62,17,0.1728,0.09
543,4,4,47,19,52,62,17,0.3456,0.12
544,5,4,47,19,52,62,17,0.6912,0.37
545,6,4,47,19,52,62,17,1.3824,0.93
546,7,4,47,19,52,62,17,2.7648,1
547,8,4,47,19,52,62,17,5.5296,1
548,9,4,47,19,52,62,17,11.0592,1
549,10,4,47,19,52,62,17,22.1184,1
550,11,4,47,19,52,62,17,44.2368,1
551,1,4,42,14,43,20,56,0.0432,0.05
552,2,4,42,14,43,20,56,0.0864,0.05
553,3,4,42,14,43,20,56,0.1728,0.06
554,4,4,42,14,43,20,56,0.3456,0.14
555,5,4,42,14,43,20,56,0.6912,0.48
556,6,4,42,14,43,20,56,1.3824,1
557,7,4,42,14,43,20,56,2.7648,1
558,8,4,42,14,43,20,56,5.5296,1
559,9,4,42,14,43,20,56,11.0592,1
560,10,4,42,14,43,20,56,22.1184,1
561,11,4,42,14,43,20,56,44.2368,1
562,1,4,32,20,58,64,54,0.0432,0.01
563,2,4,32,20,58,64,54,0.0864,0.02
564,3,4,32,20,58,64,54,0.1728,0.04
565,4,4,32,20,58,64,54,0.3456,0.11
566,5,4,32,20,58,64,54,0.6912,0.46
567,6,4,32,20,58,64,54,1.3824,0.94
568,7,4,32,20,58,64,54,2.7648,1
569,8,4,32,20,58,64,54,5.5296,1
570,9,4,32,20,58,64,54,11.0592,1
571,10,4,32,20,58,64,54,22.1184,1
